Arabic,Urdu,English
اَلۡحَمۡدُ لِلّٰهِ رَبِّ الۡعٰلَمِيۡنَۙ,تعریف اللہ ہی کے لیے ہے جو تمام کائنات کا رب ہے,"All praise is due to God, the Lord of the Universe;"
الرَّحۡمٰنِ الرَّحِيۡمِۙ,رحمان اور رحیم ہے,"the Beneficent, the Merciful;"
مٰلِكِ يَوۡمِ الدِّيۡنِؕ,روز جزا کا مالک ہے,Lord of the Day of Judgement.
اِيَّاكَ نَعۡبُدُ وَاِيَّاكَ نَسۡتَعِيۡنُؕ,ہم تیری ہی عبادت کرتے ہیں اور تجھی سے مدد مانگتے ہیں,"You alone we worship, and to You alone we turn for help."
اِهۡدِنَا الصِّرَاطَ الۡمُسۡتَقِيۡمَۙ,ہمیں سیدھا راستہ دکھا,Guide us to the straight path:
صِرَاطَ الَّذِيۡنَ اَنۡعَمۡتَ عَلَيۡهِمۡ ۙ غَيۡرِ الۡمَغۡضُوۡبِ عَلَيۡهِمۡ وَلَا الضَّآلِّيۡنَ,اُن لوگوں کا راستہ جن پر تو نے انعام فرمایا، جو معتوب نہیں ہوئے، جو بھٹکے ہوئے نہیں ہیں,"the path of those You have blessed; not of those who have incurred Your wrath, nor of those who have gone astray."
الٓمّٓۚ,الف لام میم,Alif Lam Mim.
ذٰلِكَ الۡڪِتٰبُ لَا رَيۡبَۛۚۖ فِيۡهِۛۚ هُدًى لِّلۡمُتَّقِيۡنَۙ,یہ اللہ کی کتاب ہے، اس میں کوئی شک نہیں ہدایت ہے اُن پرہیز گار لوگوں کے لیے,"This is the Book; there is no doubt in it. It is a guide for those who are mindful of God,"
الَّذِيۡنَ يُؤۡمِنُوۡنَ بِالۡغَيۡبِ وَ يُقِيۡمُوۡنَ الصَّلٰوةَ وَمِمَّا رَزَقۡنٰهُمۡ يُنۡفِقُوۡنَۙ,جو غیب پر ایمان لاتے ہیں، نماز قائم کرتے ہیں، جو رزق ہم نے اُن کو دیا ہے، اُس میں سے خرچ کرتے ہیں,"who believe in the unseen, and are steadfast in prayer, and spend out of what We have provided them with;"
وَالَّذِيۡنَ يُؤۡمِنُوۡنَ بِمَۤا اُنۡزِلَ اِلَيۡكَ وَمَاۤ اُنۡزِلَ مِنۡ قَبۡلِكَۚ وَبِالۡاٰخِرَةِ هُمۡ يُوۡقِنُوۡنَؕ,جو کتاب تم پر نازل کی گئی ہے (یعنی قرآن) اور جو کتابیں تم سے پہلے نازل کی گئی تھیں ان سب پر ایمان لاتے ہیں اور آخرت پر یقین رکھتے ہیں,"those who believe in the revelation sent down to you and in what was sent before you, and firmly believe in the life to come --"
اُولٰٓٮِٕكَ عَلٰى هُدًى مِّنۡ رَّبِّهِمۡ​ وَاُولٰٓٮِٕكَ هُمُ الۡمُفۡلِحُوۡنَ ﻿﻿,ایسے لوگ اپنے رب کی طرف سے راہ راست پر ہیں اور وہی فلاح پانے والے ہیں,they are the people who are rightly following their Lord and it is they who shall be successful.
اِنَّ الَّذِيۡنَ كَفَرُوۡا سَوَآءٌ عَلَيۡهِمۡ ءَاَنۡذَرۡتَهُمۡ اَمۡ لَمۡ تُنۡذِرۡهُمۡ لَا يُؤۡمِنُوۡنَ,جن لوگوں نے (اِن باتوں کو تسلیم کرنے سے) انکار کر دیا، اُن کے لیے یکساں ہے، خواہ تم انہیں خبردار کرو یا نہ کرو، بہرحال وہ ماننے والے نہیں ہیں,"As for those who are bent on denying the truth, it makes no difference to them whether you warn them or not, they will not believe."
خَتَمَ اللّٰهُ عَلَىٰ قُلُوۡبِهِمۡ وَعَلٰى سَمۡعِهِمۡ​ؕ وَعَلٰىٓ اَبۡصَارِهِمۡ غِشَاوَةٌ  وَّلَهُمۡ عَذَابٌ عَظِيۡمٌ,اللہ نے ان کے دلوں اور ان کے کانوں پر مہر لگا دی ہے اور ان کی آنکھوں پر پردہ پڑ گیا ہے وہ سخت سزا کے مستحق ہیں,"God has sealed their hearts and their ears, and over their eyes there is a covering. They will have a terrible punishment."
